County,State,Total Population,Population ages 25 to 44,Population ages 45 to 64,Population ages 65 and above,State,County,Tract
San Diego County,California,3421,992,745,396,06,073,015801
San Diego County,California,5039,1347,1184,893,06,073,015802
San Diego County,California,3646,1262,716,126,06,073,015901
San Diego County,California,5319,1621,1153,429,06,073,015902
San Diego County,California,2415,654,627,335,06,073,016000
San Diego County,California,6333,1575,2012,923,06,073,016100
San Diego County,California,5572,1364,1630,1181,06,073,016201
San Diego County,California,3367,1129,691,175,06,073,016202
San Diego County,California,5225,1563,1270,393,06,073,016301
San Diego County,California,5935,1795,1343,420,06,073,016302
San Diego County,California,5229,1233,1456,932,06,073,016401
San Diego County,California,8239,2416,2139,1005,06,073,016402
San Diego County,California,7268,1959,1705,653,06,073,016502
San Diego County,California,2961,938,694,338,06,073,016503
San Diego County,California,7507,2463,1682,473,06,073,016504
San Diego County,California,7296,1964,2071,1448,06,073,016605
San Diego County,California,4066,1020,1185,440,06,073,016606
San Diego County,California,6513,1934,1706,993,06,073,016607
San Diego County,California,2647,698,866,301,06,073,016608
San Diego County,California,5335,1432,1507,539,06,073,016609
San Diego County,California,4050,1069,1346,327,06,073,016610
San Diego County,California,5912,1593,1798,630,06,073,016612
San Diego County,California,1903,446,642,227,06,073,016613
San Diego County,California,4044,1172,1062,289,06,073,016614
San Diego County,California,3951,1529,1032,302,06,073,016615
San Diego County,California,4159,1115,1001,582,06,073,016616
San Diego County,California,3408,877,865,695,06,073,016617
San Diego County,California,9856,3205,2426,1140,06,073,016701
San Diego County,California,7268,1957,1586,1279,06,073,016702
San Diego County,California,7238,1491,2212,1858,06,073,016802
San Diego County,California,7451,1935,1747,408,06,073,016804
San Diego County,California,4648,1203,1277,580,06,073,016806
San Diego County,California,7055,1736,2235,1107,06,073,016807
San Diego County,California,5408,1358,1556,669,06,073,016809
San Diego County,California,2976,686,1022,396,06,073,016810
San Diego County,California,4307,1067,1231,828,06,073,016811
San Diego County,California,6796,1459,1912,1073,06,073,016901
San Diego County,California,2591,676,829,292,06,073,016902
San Diego County,California,2848,413,1016,630,06,073,017006
San Diego County,California,4068,1014,1142,582,06,073,017009
San Diego County,California,3204,809,1030,289,06,073,017010
San Diego County,California,2447,119,628,1700,06,073,017014
San Diego County,California,7818,2028,2202,1556,06,073,017015
San Diego County,California,4802,1779,1103,566,06,073,017018
San Diego County,California,5977,852,1754,2560,06,073,017019
San Diego County,California,3753,661,1206,774,06,073,017020
San Diego County,California,2710,401,1129,488,06,073,017021
San Diego County,California,5812,1423,1608,866,06,073,017022
San Diego County,California,8964,1442,3190,1618,06,073,017029
San Diego County,California,20209,6120,4849,2257,06,073,017030
San Diego County,California,3854,1126,996,354,06,073,017031
San Diego County,California,14056,3782,3577,1162,06,073,017032
San Diego County,California,4823,1384,1503,570,06,073,017033
San Diego County,California,5291,1704,1295,484,06,073,017034
San Diego County,California,2893,838,709,351,06,073,017035
San Diego County,California,3576,967,961,357,06,073,017036
San Diego County,California,5877,1590,1555,703,06,073,017037
San Diego County,California,7482,2227,2172,853,06,073,017039
San Diego County,California,4867,1217,1524,657,06,073,017040
San Diego County,California,6058,1591,1724,685,06,073,017041
San Diego County,California,7660,2380,2092,435,06,073,017042
San Diego County,California,6611,2228,1727,349,06,073,017043
San Diego County,California,5705,1471,1709,438,06,073,017044
San Diego County,California,2778,643,948,289,06,073,017045
San Diego County,California,3680,872,1146,671,06,073,017046
San Diego County,California,4052,911,1297,586,06,073,017047
San Diego County,California,7429,2359,1366,554,06,073,017048
San Diego County,California,3266,882,844,313,06,073,017049
San Diego County,California,3263,877,881,542,06,073,017050
San Diego County,California,4570,979,1303,1173,06,073,017051
San Diego County,California,5218,1540,1353,704,06,073,017052
San Diego County,California,3308,454,1061,668,06,073,017053
San Diego County,California,5884,1062,1928,1313,06,073,017054
San Diego County,California,5298,1578,1487,471,06,073,017055
San Diego County,California,4466,1719,1103,321,06,073,017056
San Diego County,California,3839,928,1247,524,06,073,017104
San Diego County,California,4867,692,1443,1212,06,073,017106
San Diego County,California,2855,524,1101,364,06,073,017107
San Diego County,California,4862,1138,1549,770,06,073,017108
San Diego County,California,6575,1451,2456,488,06,073,017109
San Diego County,California,11377,2769,3027,1140,06,073,017110
San Diego County,California,4312,1058,1748,1015,06,073,017200
San Diego County,California,2852,745,975,424,06,073,017303
San Diego County,California,6232,2130,1603,1192,06,073,017304
San Diego County,California,2930,426,955,858,06,073,017305
San Diego County,California,2764,411,889,820,06,073,017306
San Diego County,California,6191,2344,1683,708,06,073,017401
San Diego County,California,5198,1033,1588,1289,06,073,017403
San Diego County,California,7091,1856,1734,1427,06,073,017404
San Diego County,California,2900,1200,741,450,06,073,017501
San Diego County,California,3814,1237,987,512,06,073,017502
San Diego County,California,5597,657,1562,2125,06,073,017601
San Diego County,California,2566,719,848,435,06,073,017603
San Diego County,California,7158,1844,1957,1203,06,073,017604
San Diego County,California,5273,1958,1435,495,06,073,017701
San Diego County,California,3107,1137,944,407,06,073,017702
San Diego County,California,6498,1700,1978,1160,06,073,017801
San Diego County,California,6242,965,2156,1534,06,073,017808
San Diego County,California,2431,516,741,386,06,073,017809
San Diego County,California,4782,1130,1506,965,06,073,017810
San Diego County,California,7461,2155,2287,1028,06,073,017811
San Diego County,California,4395,803,1372,1024,06,073,017813
San Diego County,California,7090,2383,1721,1027,06,073,017900
San Diego County,California,3274,1273,800,679,06,073,018000
San Diego County,California,6584,2089,1749,821,06,073,018100
San Diego County,California,7627,2571,1559,573,06,073,018200
